# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
1.41              	7.4024986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.415             	7.4287486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.42              	7.4549986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.425             	7.4812486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.43              	7.5074986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.435             	7.5337486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.44              	7.5599986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.445             	7.5862486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.45              	7.6124986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.455             	7.6387486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.46              	7.6649986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.465             	7.6912486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.47              	7.7174986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.475             	7.7437486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.48              	7.7699986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.485             	7.7962486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.49              	7.8224986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.495             	7.8487486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.5               	7.8749986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.505             	7.9012486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.51              	7.9274986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.515             	7.9537486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.52              	7.9799986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
